GenePublicName,SequenceNameGene,SequenceNameTranscript,Db10,OP50,Ratio_Db10vsOP50,log2_Ratio_Db10vsOP50,Infection_upregulated,Infection_downregulated
trx-2,B0024.9,B0024.9.1,"1,13521","1,33402","0,850969",-0.232821518042,,
trx-2,B0024.9,B0024.9.2,"2,42582","2,65599","0,913339",-0.130777656535,,
vps-34,B0025.1,B0025.1a,"0,52641","0,424152","1,241088",0.311605414149,,
vps-34,B0025.1,B0025.1b.1,"0,483558","0,380178","1,271925",0.347013603548,,
vps-34,B0025.1,B0025.1b.2,"0,526354","0,423853","1,241831",0.312468851456,,
vps-34,B0025.1,B0025.1c.1,"0,526354","0,423853","1,241831",0.312468851456,,
vps-34,B0025.1,B0025.1c.2,"0,528107","0,4143","1,274697",0.350154354106,,
vps-34,B0025.1,B0025.1d.1,"0,55394","0,419454","1,320622",0.401217584856,,
vps-34,B0025.1,B0025.1d.2,"0,552938","0,418042","1,322685",0.403469521898,,
vps-34,B0025.1,B0025.1e,"0,55394","0,419454","1,320622",0.401217584856,,
csn-2,B0025.2,B0025.2.1,"1,80691","1,30739","1,382074",0.466834863610,,
csn-2,B0025.2,B0025.2.2,"1,70773","1,09473","1,559955",0.641504412284,,
csn-2,B0025.2,B0025.2.3,"1,70864","1,09531","1,55996",0.641509036433,,
csn-2,B0025.2,B0025.2.4,"1,70162","1,09072","1,560089",0.641628334341,,
B0025.4,B0025.4,B0025.4,"1,35049","0,727333","1,85677",0.892795118230,,
B0034.1,B0034.1,B0034.1,"0,070799","0,075677","0,935539",-0.096130298253,,
B0034.2,B0034.2,B0034.2,0,0,,,,
casy-1,B0034.3,B0034.3a,"0,765014","0,920698","0,830907",-0.267241083773,,
casy-1,B0034.3,B0034.3b,"0,714619","1,14754","0,62274",-0.683298145127,,
casy-1,B0034.3,B0034.3c.1,"0,733891","0,876363","0,837428",-0.255962938469,,
casy-1,B0034.3,B0034.3c.2,"0,602538","0,766263","0,786333",-0.346787693715,,
B0034.4,B0034.4,B0034.4,"0,012789","0,00476","2,686967",1.425978602993,1,
B0034.5,B0034.5,B0034.5,0,"0,00396",0,,,
B0034.7,B0034.7,B0034.7,"0,119758","0,101311","1,182083",0.241331337956,,
his-45,B0035.10,B0035.10,nan,nan,,,,
B0035.11,B0035.11,B0035.11,"1,48773","1,17231","1,269059",0.343759143276,,
B0035.12,B0035.12,B0035.12.1,"0,626915","0,555504","1,128552",0.174472894749,,
B0035.12,B0035.12,B0035.12.2,"0,58508","0,549401","1,064942",0.090774859004,,
