GenePublicName,SequenceNameGene,SequenceNameTranscript,EF,OP50,Ratio_EFvsOP50,log2_Ratio_EFvsOP50,Infection_upregulated,Infection_downregulated
B0416.5,B0416.5,B0416.5a.2,"3,31814","2,01474",1.646932110347,0.71978108567,,
B0416.5,B0416.5,B0416.5b,"3,96913","2,29026",1.733047776235,0.79331142691,,
gly-13,B0416.6,B0416.6,"0,507038","0,348261",1.455913811768,0.54192495237,,
B0416.7,B0416.7,B0416.7a,"0,358772","0,296293",1.210868970917,0.27604275831,,
B0416.7,B0416.7,B0416.7b,"0,174593","0,152633",1.143874522548,0.19392880419,,
B0432.1,B0432.1,B0432.1,"0,023644","0,001119",21.129490616622,4.40118608252,1,
B0432.10,B0432.10,B0432.10,"0,166343","0,219073",0.759303976300,-0.39725053164,,
B0432.11,B0432.11,B0432.11,0,0,,,,
B0432.12,B0432.12,B0432.12,"0,022266",0,,,,
B0432.13,B0432.13,B0432.13.1,"0,285909","0,246348",1.160589897219,0.21485827559,,
B0432.13,B0432.13,B0432.13.2,"0,293603","0,234507",1.252001006367,0.32423572192,,
B0432.14,B0432.14,B0432.14,"0,760255","0,702515",1.082190415863,0.11395436964,,
djr-1.1,B0432.2,B0432.2,"2,26878","1,57999",1.435945797125,0.52200129255,,
B0432.3,B0432.3,B0432.3,"1,26106","1,21253",1.040023751990,0.05661647691,,
B0432.4,B0432.4,B0432.4,"1,75156","1,06156",1.649986811862,0.72245449324,,
cat-2,B0432.5,B0432.5a,"0,026221","0,004533",5.784381204500,2.53216263246,1,
cat-2,B0432.5,B0432.5b,"0,031925","0,004679",6.823017738833,2.77040996710,1,
B0432.6,B0432.6,B0432.6,"0,276059","0,151043",1.827684831472,0.87001731149,,
