wbid,intestine,head,pharynx,hypodermis,tail,vulvalmuscle,tailneurons,bodywallmusculature,vulva,ventralnervecord,nervoussystem,spermatheca,headneurons,germline
WBGene00000517,1,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000527,1,0,1,0,0,0,0,1,0,1,0,0,0,0
WBGene00000528,1,0,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00000529,1,0,0,0,0,1,1,1,0,1,0,0,1,0
WBGene00000530,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00000532,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000533,0,0,0,0,0,1,0,1,0,0,0,0,0,0
WBGene00000534,1,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000539,0,0,1,1,0,0,0,0,0,0,0,0,0,0
WBGene00000542,1,0,0,1,0,0,0,1,1,0,1,0,0,0
WBGene00000543,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000545,0,0,0,0,0,0,0,1,0,0,1,0,0,0
WBGene00000546,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000547,1,0,0,1,0,0,0,0,1,0,1,0,0,0
WBGene00000549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000554,1,0,0,0,0,0,1,1,0,1,0,1,1,0
WBGene00000556,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000558,1,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000560,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000561,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00000562,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00000563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000566,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000567,0,0,0,0,0,0,0,0,0,0,1,1,0,0
WBGene00000584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000620,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000626,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000664,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000667,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000704,1,0,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00000717,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000767,0,0,0,1,0,0,0,0,0,0,1,0,0,0
WBGene00000768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000770,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000772,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000776,1,0,1,1,0,0,0,0,1,0,0,1,0,0
WBGene00000779,0,0,0,0,0,1,0,1,0,0,0,0,1,0
WBGene00000788,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00000803,1,1,0,0,0,0,1,0,1,0,0,0,0,0
WBGene00000812,0,0,0,0,1,0,0,1,0,0,0,0,0,0
WBGene00000814,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000817,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000819,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000820,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000822,0,0,0,0,0,1,0,1,0,0,0,0,0,0
WBGene00000832,0,0,0,0,0,0,0,1,0,0,1,0,0,0
WBGene00000834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000836,1,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000837,1,0,0,0,0,0,0,0,1,0,0,0,0,1
WBGene00000838,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000839,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000840,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000843,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000846,0,1,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000857,1,0,0,0,1,0,0,1,1,0,0,0,0,0
WBGene00000858,1,0,1,1,0,0,0,1,0,0,0,0,1,0
