#Table S9 from A validated gene regulatory network and GWAS identifies early regulators of T cell–associated diseases
# Contains all known SNPs at time of publication,,,,,
Link,Disease_Trait,Mapped_gene,Upstream_gene_id (Entrez),Downstream_gene_id (Entrez),p_Value
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,CFH,,,1E-434
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,C2,,,4.00E-89
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,C3,,,1.00E-41
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,TIMP3,,,2.00E-26
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,APOE,,,2.00E-20
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,CETP,,,7.00E-16
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,VEGFA,7422,221416,9.00E-16
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,TNFRSF10A,,,3.00E-15
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,LIPC,441726,3990,3.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,CFI,,,7.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,COL10A1,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,COL8A1,,,4.00E-13
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,IER3,8870,100616237,2.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,SLC16A8,,,2.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,TGFBR1,,,3.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,RAD51B,,,9.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,ADAMTS9,,,5.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,B3GALTL,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,CFH,,,2.00E-31
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,Intergenic,57795,89866,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,CD34,407025,947,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,GLI2,3625,2736,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,Intergenic,132391,645368,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,Intergenic,5550,639,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,GLI3,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,FAM84B,100420058,157638,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,MBL2,4153,100874423,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,ARMS2,,,4.00E-24
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,PCF11,1333,100127960,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,TYR,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,POSTN,100271551,400121,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,ITGB1BP3,27231,693222,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,PVRL2,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,APOE,,,1.00E-06
