level_0,index,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
7837,1380,1381,F38B2.1c.1,1.87e-06,2.8600000000000004e-05,-1.0339221790000002,0.21688549699999998,6.213318165,0.203208389,0.033412162999999995,0.037146815,0.022471725,0.037146815,WBGene00002050,ifa-1
7849,247,248,F38B7.1b,1.1699999999999999e-15,1e-13,-0.972836501,0.121494984,6.658499196,0.250975438,0.002031144,0.020110403,0.016468603000000002,0.020110403,WBGene00009532,ccch-1
7935,1601,1602,F39H12.4,6.1e-06,8.05e-05,1.993288529,0.44071415700000005,3.9875394230000003,0.8349223640000001,0.034927818,0.25641563300000003,0.101890959,0.25641563300000003,WBGene00018215,igcm-1
7966,86,87,F40E10.5,2.02e-25,4.92e-23,2.5504403719999997,0.24478012100000002,4.584301835,0.99242672,0.022158822999999998,0.033765914,0.06771713900000001,0.06771713900000001,WBGene00009573,F40E10.5
8010,3210,3211,F40F8.4,0.001044313,0.006876337,1.523524195,0.46472880200000005,4.0014414380000005,0.710105036,0.031529627000000005,0.292429662,0.10091978199999999,0.292429662,WBGene00009577,F40F8.4
8014,4797,4798,F40F8.7.1,0.00893044,0.039353125,-0.743938905,0.284521099,6.599466331,0.266689491,0.004752485,0.116675899,0.017158547,0.116675899,WBGene00004096,pqm-1
8037,856,857,F40G9.15,2.04e-08,5.04e-07,2.623789131,0.46783346200000003,3.2051621239999997,1.259205077,0.09396329099999999,0.23433893100000003,0.18047241,0.23433893100000003,WBGene00077531,F40G9.15
8044,1289,1290,F40G9.6,1.05e-06,1.7199999999999998e-05,3.341611503,0.6844780140000001,3.569808684,2.0648189980000002,0.089428442,0.613336785,0.13677930300000002,0.613336785,WBGene00018242,F40G9.6
8174,3155,3156,F42A6.9,0.000953113,0.006385194,0.32052361,0.097010389,6.987179127,0.036412498,0.000985139,0.005066137,0.013131384,0.013131384,WBGene00018330,elks-1
8203,2963,2964,F42C5.8b.5,0.000631806,0.004505573,-0.410756571,0.12018932199999999,9.517027609,0.078102967,0.000660972,0.021007237999999998,0.007368217,0.021007237999999998,WBGene00004477,rps-8
8319,850,851,F43E2.8a.1,1.93e-08,4.78e-07,-0.39081101700000004,0.069557368,9.284167114,0.026503372,0.000166817,0.004021497,0.007090525,0.007090525,WBGene00002008,hsp-4
8326,890,891,F43G6.3,3.07e-08,7.27e-07,-0.768006447,0.138688099,6.283563727000001,0.10206814199999999,0.001836953,0.02701463,0.021349245,0.02701463,WBGene00009656,F43G6.3
8406,454,455,F44E2.4,1.4699999999999998e-11,6.809999999999999e-10,2.0188788090000003,0.299037644,4.113864632,0.81700752,0.025708948,0.10842632,0.093408614,0.10842632,WBGene00018418,F44E2.4
8436,280,281,F44F1.6a,8.790000000000001e-15,6.609999999999999e-13,2.353166481,0.303413108,4.396597033,0.93930466,0.022444619,0.115644651,0.076769093,0.115644651,WBGene00009698,F44F1.6
8457,912,913,F44G4.8a,4.27e-08,9.9e-07,1.04302933,0.190363216,5.243747814,0.186770658,0.009345278,0.031860504,0.04501195400000001,0.04501195400000001,WBGene00009717,dep-1
8485,2038,2039,F45D3.3,4.71e-05,0.000488535,-1.001483792,0.24609488100000002,6.249500105,0.210256268,0.002345725,0.088498311,0.021883764,0.088498311,WBGene00009723,F45D3.3
8497,1551,1552,F45E10.1a,4.58e-06,6.24e-05,5.85515337,1.27752166,3.137496248,7.027950153,1.87811209,0.5699802979999999,0.19029749999999998,0.5699802979999999,WBGene00006788,unc-53
